ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600009.SH,20010102,4.8242,4.9023,4.8242,4.8975,4.7852,0.11230000000000029,2.3468,21946.76,21833.906
600009.SH,20010103,4.9219,4.9268,4.8486,4.8828,4.8975,-0.01470000000000038,-0.3002,23102.54,23103.079
600009.SH,20010104,4.8828,4.8828,4.834,4.8389,4.8828,-0.04389999999999983,-0.8991,16028.15,15949.553
600009.SH,20010105,4.834,4.9561,4.8242,4.917,4.8389,0.07810000000000006,1.614,33520.28,33752.813
600009.SH,20010108,4.917,4.9268,4.8242,4.8584,4.917,-0.05860000000000021,-1.1918,22195.74,22062.725
600009.SH,20010109,4.8682,4.9561,4.8633,4.9316,4.8584,0.07320000000000082,1.5067,29356.54,29567.595
600009.SH,20010110,4.9316,5.0146,4.9316,4.9951,4.9316,0.06349999999999945,1.2876,53373.55,54499.21
600009.SH,20010111,5.0098,5.0195,4.9561,4.9609,4.9951,-0.03420000000000023,-0.6847,24821.59,25298.475
600009.SH,20010112,4.9609,4.9951,4.9512,4.9512,4.9609,-0.009699999999999598,-0.1955,24329.81,24769.364
600009.SH,20010115,4.9512,4.9512,4.8291,4.834,4.9512,-0.11720000000000041,-2.3671,23040.07,22992.314
600009.SH,20010116,4.8047,4.9316,4.79,4.9072,4.834,0.07319999999999993,1.5143,17252.05,17126.127
600009.SH,20010117,4.9072,4.9316,4.8682,4.8828,4.9072,-0.024399999999999977,-0.4972,12028.34,12053.177
600009.SH,20010118,4.8877,4.9316,4.873,4.9316,4.8828,0.04880000000000084,0.9994,17207.4,17307.454
600009.SH,20010119,4.9316,4.9756,4.9316,4.9512,4.9316,0.019599999999999618,0.3974,23226.38,23564.071
600009.SH,20010205,4.9805,5.0,4.8438,4.8877,4.9512,-0.06350000000000033,-1.2825,20487.33,20600.766
600009.SH,20010206,4.873,4.9268,4.8242,4.9268,4.8877,0.03910000000000036,0.8,24813.17,24684.027
600009.SH,20010207,4.9316,4.9512,4.8828,4.9316,4.9268,0.0048000000000003595,0.0974,15020.11,15175.609
600009.SH,20010208,4.9316,4.9707,4.8682,4.8877,4.9316,-0.043900000000000716,-0.8902,17438.04,17545.833
600009.SH,20010209,4.8828,4.9902,4.8828,4.9707,4.8877,0.08300000000000018,1.6981,28639.08,29051.498
600009.SH,20010212,4.9805,5.0537,4.9512,5.0391,4.9707,0.06840000000000046,1.3761,45797.88,46983.742
600009.SH,20010213,5.0391,5.0537,4.9707,5.0049,5.0391,-0.03420000000000023,-0.6787,29682.6,30428.492
600009.SH,20010214,5.0049,5.0391,4.9805,5.0244,5.0049,0.01949999999999985,0.3896,23157.74,23804.724
600009.SH,20010215,5.0244,5.0391,4.9561,4.9561,5.0244,-0.0682999999999998,-1.3594,15283.65,15638.876
600009.SH,20010216,4.9463,4.9658,4.8975,4.9561,4.9561,0.0,0.0,17443.81,17594.402
600009.SH,20010219,4.9561,5.0098,4.9316,5.0049,4.9561,0.048799999999999955,0.9846,15627.38,15930.127
600009.SH,20010220,5.0049,5.0049,4.917,4.9609,5.0049,-0.04400000000000048,-0.8791,18756.63,19053.332
600009.SH,20010221,4.9561,4.9609,4.8828,4.917,4.9609,-0.04389999999999983,-0.8849,25844.21,25999.17
600009.SH,20010222,4.9072,4.9316,4.873,4.8877,4.917,-0.029300000000000104,-0.5959,13318.01,13345.292
600009.SH,20010223,4.8828,5.0293,4.8828,5.0293,4.8877,0.1416000000000004,2.8971,12025.92,12110.283
600009.SH,20010226,5.0146,5.0146,4.9609,5.0049,5.0293,-0.024399999999999977,-0.4852,15650.19,16002.236
600009.SH,20010227,5.0049,5.0195,4.9707,4.9951,5.0049,-0.009800000000000253,-0.1958,10805.04,11048.552
600009.SH,20010228,5.0049,5.0684,4.9805,5.0391,4.9951,0.04400000000000048,0.8809,34086.75,35190.72
600009.SH,20010301,5.0293,5.1758,5.0244,5.1367,5.0391,0.09759999999999991,1.9369,95673.7,100248.746
600009.SH,20010302,5.1514,5.1855,5.1025,5.1465,5.1367,0.009799999999999365,0.1908,62951.54,66441.576
600009.SH,20010305,5.1465,5.166,5.1074,5.1318,5.1465,-0.014699999999999491,-0.2856,28316.32,29793.298
600009.SH,20010306,5.1318,5.2441,5.1172,5.2197,5.1318,0.08789999999999942,1.7128,55357.47,58732.591
600009.SH,20010307,5.2246,5.2344,5.1611,5.1709,5.2197,-0.048799999999999955,-0.9349,25428.99,27091.201
600009.SH,20010308,5.166,5.1709,5.1074,5.1465,5.1709,-0.024399999999999977,-0.4719,28830.1,30315.11
600009.SH,20010309,5.1416,5.1855,5.1123,5.1562,5.1465,0.009700000000000486,0.1885,25995.52,27362.024
600009.SH,20010312,5.1514,5.1758,5.1123,5.1221,5.1562,-0.03410000000000046,-0.6613,18727.05,19664.645
600009.SH,20010313,5.1221,5.1221,5.0537,5.0635,5.1221,-0.05859999999999932,-1.1441,21498.3,22363.979
600009.SH,20010314,5.0586,5.1758,5.0586,5.1514,5.0635,0.08789999999999942,1.736,21314.9,22336.959
600009.SH,20010315,5.1514,5.1855,5.1318,5.1367,5.1514,-0.014699999999999491,-0.2854,16875.25,17791.027
600009.SH,20010316,5.1367,5.1367,5.0684,5.0879,5.1367,-0.048799999999999955,-0.95,19372.63,20265.104
600009.SH,20010319,5.1074,5.2686,5.0781,5.1953,5.0879,0.10739999999999927,2.1109,56167.84,59915.75
600009.SH,20010320,5.2148,5.2197,5.1611,5.1758,5.1953,-0.01949999999999985,-0.3753,16796.43,17813.666
600009.SH,20010321,5.1758,5.2686,5.166,5.2637,5.1758,0.08790000000000031,1.6983,41164.71,43990.417
600009.SH,20010322,5.2734,5.3076,5.2246,5.2588,5.2637,-0.0049000000000001265,-0.0931,48022.92,51796.481
600009.SH,20010323,5.2637,5.2734,5.1758,5.1758,5.2588,-0.08300000000000018,-1.5783,35799.0,38256.752
600009.SH,20010326,5.1758,5.249,5.1514,5.2246,5.1758,0.048799999999999955,0.9428,24767.97,26454.332
600009.SH,20010327,5.2637,5.2637,5.2002,5.2393,5.2246,0.01470000000000038,0.2814,24979.51,26744.902
600009.SH,20010328,5.2393,5.249,5.21,5.2295,5.2393,-0.009800000000000253,-0.187,20439.48,21870.735
600009.SH,20010329,5.293,5.2979,5.2344,5.249,5.2295,0.01949999999999985,0.3729,42301.2,45647.918
600009.SH,20010330,5.249,5.2734,5.1758,5.2295,5.249,-0.01949999999999985,-0.3715,24390.57,26089.953
600009.SH,20010402,5.2295,5.249,5.2051,5.2246,5.2295,-0.0049000000000001265,-0.0937,29584.67,31653.358
600009.SH,20010403,5.2246,5.2393,5.1709,5.2051,5.2246,-0.01949999999999985,-0.3732,29548.0,31461.289
