ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600004.SH,20030428,2.9613,3.3602,2.9498,3.3563,2.2555,1.1008,48.8051,1874699.32,1512258.214
600004.SH,20030429,3.2605,3.341,3.1722,3.2566,3.3563,-0.0996999999999999,-2.9705,752128.76,635863.436
600004.SH,20030430,3.2796,3.4906,3.2796,3.3985,3.2566,0.1418999999999997,4.3573,801225.37,710063.498
600004.SH,20030512,3.3372,3.4024,3.1837,3.3295,3.3985,-0.06899999999999995,-2.0303,361223.95,308806.284
600004.SH,20030513,3.3142,3.3218,3.0687,3.1032,3.3295,-0.22629999999999972,-6.7968,392776.96,325715.933
600004.SH,20030514,3.0687,3.2566,3.038,3.2029,3.1032,0.0996999999999999,3.2128,303873.7,253425.348
600004.SH,20030515,3.1952,3.295,3.13,3.2796,3.2029,0.07669999999999977,2.3947,281839.18,236834.456
600004.SH,20030516,3.2796,3.3295,3.2068,3.2835,3.2796,0.0039000000000002366,0.1189,360651.25,307204.529
600004.SH,20030519,3.2988,3.4446,3.2988,3.3563,3.2835,0.07279999999999998,2.2171,462504.44,407544.272
600004.SH,20030520,3.3563,3.387,3.2796,3.3295,3.3563,-0.026800000000000157,-0.7985,170675.64,147727.684
600004.SH,20030521,3.3295,3.364,3.2681,3.2988,3.3295,-0.03069999999999995,-0.9221,128595.47,110939.93
600004.SH,20030522,3.2911,3.3448,3.2605,3.318,3.2988,0.019200000000000106,0.582,103012.82,88781.118
600004.SH,20030523,3.3372,3.6517,3.2643,3.4983,3.318,0.1802999999999999,5.434,729267.6,670901.997
600004.SH,20030526,3.4906,3.6057,3.4868,3.5098,3.4983,0.011499999999999844,0.3287,467181.8,431132.436
600004.SH,20030527,3.5251,3.5635,3.4753,3.5098,3.5098,0.0,0.0,201880.05,184901.453
600004.SH,20030528,3.529,3.5596,3.4446,3.4599,3.5098,-0.04989999999999961,-1.4217,331831.74,302104.859
600004.SH,20030529,3.4599,3.5942,3.4369,3.5865,3.4599,0.12659999999999982,3.6591,230255.4,210900.164
600004.SH,20030530,3.598,3.6555,3.529,3.5405,3.5865,-0.04599999999999982,-1.2826,260117.35,244128.62
600004.SH,20030602,3.5481,3.6325,3.529,3.5596,3.5405,0.019099999999999895,0.5395,215820.98,201804.921
600004.SH,20030603,3.5673,3.5942,3.5175,3.5213,3.5596,-0.0383,-1.076,132267.26,122447.236
600004.SH,20030604,3.5136,3.5673,3.4829,3.5558,3.5213,0.034499999999999975,0.9798,122370.84,112488.205
600004.SH,20030605,3.5366,3.5635,3.4868,3.5098,3.5558,-0.04600000000000026,-1.2937,121087.03,110737.203
600004.SH,20030606,3.4906,3.5596,3.4791,3.5136,3.5098,0.0038000000000000256,0.1083,97158.78,88911.859
600004.SH,20030609,3.4868,3.529,3.4829,3.4983,3.5136,-0.01529999999999987,-0.4355,69466.22,63322.602
600004.SH,20030610,3.4983,3.6018,3.4944,3.5635,3.4983,0.06519999999999992,1.8638,169545.72,157420.724
600004.SH,20030611,3.5673,3.6325,3.552,3.6057,3.5635,0.04220000000000024,1.1842,139923.61,131429.944
600004.SH,20030612,3.621,3.6249,3.5596,3.575,3.6057,-0.03069999999999995,-0.8514,89165.46,83354.483
600004.SH,20030613,3.5903,3.6249,3.5635,3.575,3.575,0.0,0.0,66772.04,62495.5
600004.SH,20030616,3.575,3.598,3.5175,3.5558,3.575,-0.019200000000000106,-0.5371,66458.91,61435.524
600004.SH,20030617,3.5366,3.5558,3.5098,3.5251,3.5558,-0.03069999999999995,-0.8634,50694.64,46610.786
600004.SH,20030618,3.5251,3.575,3.4983,3.5059,3.5251,-0.019200000000000106,-0.5447,60741.05,55781.138
600004.SH,20030619,3.5021,3.5251,3.4561,3.4791,3.5059,-0.026800000000000157,-0.7644,65326.75,59409.928
600004.SH,20030620,3.5673,3.5673,3.4638,3.4829,3.4791,0.0038000000000000256,0.1092,51423.99,46895.164
600004.SH,20030623,3.4753,3.4983,3.4369,3.4714,3.4829,-0.011499999999999844,-0.3302,69395.61,62547.673
600004.SH,20030624,3.4638,3.4906,3.4407,3.4714,3.4714,0.0,0.0,31286.26,28250.536
600004.SH,20030625,3.4868,3.4906,3.3295,3.3372,3.4714,-0.13419999999999987,-3.8659,194631.65,171431.598
600004.SH,20030627,3.3755,3.4216,3.3103,3.341,3.3372,0.0038000000000000256,0.1139,114519.07,100730.062
600004.SH,20030630,3.3372,3.3909,3.318,3.3333,3.341,-0.007700000000000262,-0.2305,47543.7,41484.932
600004.SH,20030701,3.3333,3.4024,3.3295,3.341,3.3333,0.007700000000000262,0.231,46700.93,40975.09
600004.SH,20030702,3.3563,3.3985,3.3295,3.3947,3.341,0.05369999999999964,1.6073,37823.47,33290.309
600004.SH,20030703,3.3947,3.4292,3.3563,3.4254,3.3947,0.03069999999999995,0.9044,43737.15,38777.601
600004.SH,20030704,3.4216,3.4714,3.4024,3.4062,3.4254,-0.019199999999999662,-0.5605,51676.03,46344.703
600004.SH,20030707,3.3947,3.4216,3.3602,3.387,3.4062,-0.019200000000000106,-0.5637,34914.59,30836.117
600004.SH,20030708,3.3794,3.4407,3.3794,3.4254,3.387,0.03839999999999977,1.1337,26715.13,23762.127
600004.SH,20030709,3.3985,3.4254,3.3487,3.3717,3.4254,-0.05369999999999964,-1.5677,45796.23,40313.934
600004.SH,20030710,3.3563,3.5175,3.3525,3.4791,3.3717,0.10739999999999972,3.1853,144008.61,130383.789
600004.SH,20030711,3.4868,3.4906,3.4292,3.4676,3.4791,-0.011499999999999844,-0.3305,59065.64,53304.646
600004.SH,20030714,3.4714,3.5443,3.4484,3.5021,3.4676,0.034499999999999975,0.9949,131615.95,120738.561
600004.SH,20030715,3.4983,3.5481,3.4829,3.5175,3.5021,0.01540000000000008,0.4397,56941.94,52243.533
600004.SH,20030716,3.5175,3.5712,3.5059,3.5558,3.5175,0.0383,1.0888,71886.77,66481.342
600004.SH,20030717,3.5596,3.6747,3.5596,3.6133,3.5558,0.05750000000000011,1.6171,372495.51,352331.96
600004.SH,20030718,3.6249,3.6517,3.5443,3.5481,3.6133,-0.06520000000000037,-1.8044,205760.78,193106.534
600004.SH,20030721,3.5366,3.598,3.5175,3.5712,3.5481,0.023100000000000342,0.6511,122696.13,113916.137
600004.SH,20030722,3.6057,3.6709,3.5635,3.621,3.5712,0.049799999999999844,1.3945,185171.6,174742.503
600004.SH,20030723,3.621,3.644,3.5481,3.5903,3.621,-0.03069999999999995,-0.8478,86546.65,81113.322
600004.SH,20030724,3.598,3.6325,3.5558,3.5903,3.5903,0.0,0.0,70715.91,66442.801
600004.SH,20030725,3.5865,3.6057,3.4753,3.4983,3.5903,-0.09200000000000008,-2.5625,114484.33,105246.679
600004.SH,20030728,3.4753,3.5366,3.4714,3.5098,3.4983,0.011499999999999844,0.3287,36621.63,33473.373
600004.SH,20030729,3.4983,3.5405,3.4906,3.5213,3.5098,0.011500000000000288,0.3277,34906.62,32023.361
600004.SH,20030730,3.5175,3.5481,3.4906,3.5405,3.5213,0.019200000000000106,0.5453,51463.19,47183.248
600004.SH,20030731,3.5405,3.552,3.5059,3.5175,3.5405,-0.02300000000000013,-0.6496,33613.91,30858.302
600004.SH,20030801,3.5175,3.5443,3.4906,3.5213,3.5175,0.0038000000000000256,0.108,26242.48,24017.872
600004.SH,20030804,3.5213,3.5328,3.4522,3.5136,3.5213,-0.007700000000000262,-0.2187,41081.4,37417.266
600004.SH,20030805,3.5021,3.5443,3.5021,3.5213,3.5136,0.007700000000000262,0.2191,17910.03,16435.649
600004.SH,20030806,3.5175,3.5366,3.4791,3.4983,3.5213,-0.02300000000000013,-0.6532,22963.89,20929.994
600004.SH,20030807,3.4944,3.5596,3.4829,3.5021,3.4983,0.0038000000000000256,0.1086,29749.2,27300.943
600004.SH,20030808,3.4906,3.5021,3.4599,3.4599,3.5021,-0.04219999999999979,-1.205,37706.51,34155.757
600004.SH,20030811,3.4561,3.4829,3.4369,3.4676,3.4599,0.007699999999999818,0.2225,25627.27,23102.811
600004.SH,20030812,3.4638,3.5175,3.4561,3.4944,3.4676,0.026800000000000157,0.7729,25150.19,22903.208
600004.SH,20030813,3.4906,3.5098,3.4714,3.4791,3.4944,-0.015300000000000313,-0.4378,19578.82,17789.145
600004.SH,20030814,3.4599,3.5213,3.4254,3.4369,3.4791,-0.04219999999999979,-1.213,48487.82,43790.251
600004.SH,20030815,3.4331,3.4407,3.3602,3.3909,3.4369,-0.04600000000000026,-1.3384,55330.55,48928.386
